                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.68917,                 1.4425,                 1.0947,                0.55457,                0.51343,                0.54484,                0.46405,                0.62619,                  1.482,                 1.0227,                0.00307,                0.00307,                0.00307
                     37,                0.68572,                 1.4267,                 1.0908,                0.55291,                0.50883,                0.54381,                0.46352,                0.62455,                 1.4717,                 1.0228,               0.002872,               0.002872,               0.002872
                     38,                0.68074,                 1.4102,                 1.0881,                0.57734,                0.49328,                0.54332,                0.46272,                0.62339,                  1.473,                 1.0214,               0.002674,               0.002674,               0.002674
                     39,                0.67601,                 1.3932,                 1.0874,                 0.5558,                0.50814,                0.54256,                0.46247,                0.62169,                 1.4708,                 1.0215,               0.002476,               0.002476,               0.002476
                     40,                0.67351,                 1.3709,                 1.0858,                 0.5672,                0.50477,                0.54267,                0.46327,                0.62252,                  1.467,                 1.0224,               0.002278,               0.002278,               0.002278
                     41,                 0.6031,                 1.2409,                  1.041,                0.57861,                0.50337,                0.54581,                0.46692,                0.62161,                 1.4639,                 1.0244,                0.00208,                0.00208,                0.00208
                     42,                0.59026,                 1.1857,                  1.032,                0.56433,                 0.5064,                0.54589,                0.46834,                0.62006,                 1.4622,                 1.0239,               0.001882,               0.001882,               0.001882
                     43,                0.58017,                  1.154,                 1.0234,                0.55349,                0.51296,                0.54601,                0.46904,                0.62092,                 1.4668,                 1.0232,               0.001684,               0.001684,               0.001684
                     44,                0.57954,                 1.1334,                 1.0255,                0.56898,                0.50379,                0.54709,                0.47047,                0.62145,                 1.4649,                 1.0233,               0.001486,               0.001486,               0.001486
                     45,                0.57074,                 1.1094,                   1.02,                0.55773,                 0.5118,                 0.5471,                0.47085,                0.62119,                 1.4658,                 1.0226,               0.001288,               0.001288,               0.001288
                     46,                0.56427,                 1.0817,                 1.0135,                0.53974,                0.52198,                0.54669,                0.47007,                0.62047,                 1.4643,                 1.0222,                0.00109,                0.00109,                0.00109
                     47,                 0.5592,                 1.0656,                 1.0105,                0.54696,                 0.5178,                0.54746,                   0.47,                0.62094,                 1.4611,                 1.0231,               0.000892,               0.000892,               0.000892
                     48,                0.55253,                 1.0363,                 1.0068,                0.54234,                0.52533,                0.54721,                0.47082,                0.62184,                 1.4597,                 1.0241,               0.000694,               0.000694,               0.000694
                     49,                0.54971,                 1.0159,                 1.0031,                 0.5456,                0.52375,                0.54769,                0.47083,                0.62316,                 1.4607,                 1.0254,               0.000496,               0.000496,               0.000496
                     50,                0.54635,                 1.0023,                 1.0009,                0.54581,                0.52503,                 0.5474,                0.47071,                0.62295,                 1.4619,                 1.0255,               0.000298,               0.000298,               0.000298
